,subj_id,ses_id,structural,GNG1,GNG2,HARIRI,rest,SVC1,SVC2,note
215,9897,54399,ok,ok,ok,ok,ok,ok,ok,
216,9899,54357,ok,ok,ok,ok,ok,ok,ok,
217,9899,54462,NO_BIDS,NO_HCP,NO_HCP,NO_HCP,NO_BIDS,NO_BIDS,NO_BIDS,SPLIT SESSION: Merged with 54357 (processed)
218,9899,56755,ok,ok,ok,ok,ok,ok,ok,
219,9967,54432,ok,ok,ok,ok,ok,ok,ok,
220,9967,56899,ok,ok,ok,ok,ok,ok,ok,
221,9978,54739,ok,ok,ok,ok,ok,ok,ok,
222,9978,56957,ok,ok,ok,ok,ok,ok,ok,
223,9979,54638,ok,ok,ok,ok,ok,ok,ok,
224,9995,54907,ok,ok,ok,ok,ok,ok,ok,
